DEBUG: General     , 1659312229815> 720,692> LoggerManager.init                  > Initializing...
LOG  : General     , 1659312240516> 731,385> 1659312240516 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240516> 731,385> Workshop: 2819358487 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2819358487
LOG  : General     , 1659312240516> 731,385> 1659312240516 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240516> 731,385> 1659312240516 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240517> 731,385> Workshop: 2705406713 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2705406713
LOG  : General     , 1659312240517> 731,386> 1659312240517 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240517> 731,386> 1659312240517 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240517> 731,386> Workshop: 2810448965 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2810448965
LOG  : General     , 1659312240517> 731,386> 1659312240517 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240518> 731,387> 1659312240518 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240518> 731,387> Workshop: 2142622992 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2142622992
LOG  : General     , 1659312240518> 731,387> 1659312240518 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240518> 731,387> 1659312240518 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240519> 731,388> Workshop: 2658619264 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2658619264
LOG  : General     , 1659312240519> 731,388> 1659312240519 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240519> 731,388> 1659312240519 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240519> 731,388> Workshop: 2680473910 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2680473910
LOG  : General     , 1659312240519> 731,388> 1659312240519 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240519> 731,388> 1659312240519 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240520> 731,388> Workshop: 2648779556 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2648779556
LOG  : General     , 1659312240520> 731,389> 1659312240520 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240520> 731,389> 1659312240520 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallFolder
LOG  : General     , 1659312240520> 731,389> Workshop: 2827214511 installed to C:\Program Files (x86)\Steam\steamapps\common\ProjectZomboid\steamapps\workshop\content\108600\2827214511
LOG  : General     , 1659312240520> 731,389> 1659312240520 znet: Java_zombie_core_znet_SteamWorkshop_n_1GetItemInstallTimeStamp
LOG  : General     , 1659312240527> 731,396> Start making backup to: C:\Users\aaron\Zomboid\backups\startup
LOG  : General     , 1659312266894> 757,763> compressionElapsed=25049ms, mergingElapsed=1315ms
LOG  : General     , 1659312267013> 757,882> Backup made in 26484 ms
LOG  : General     , 1659312267019> 757,887> Start making backup to: C:\Users\aaron\Zomboid\backups\version
LOG  : General     , 1659312288765> 779,634> compressionElapsed=20615ms, mergingElapsed=1131ms
LOG  : General     , 1659312288907> 779,775> Backup made in 21888 ms
LOG  : General     , 1659312288908> 779,776> user database "C:\Users\aaron\Zomboid\db\servertest1.db"
LOG  : General     , 1659312289357> 780,225> Administrator account 'admin' created.
LOG  : General     , 1659312289597> 780,466> admin password changed via -adminpassword option
LOG  : General     , 1659312289598> 780,466> Router detection/configuration starting.
LOG  : General     , 1659312289598> 780,466> If the server hangs here, set UPnP=false.
LOG  : General     , 1659312293664> 784,532> UPnP-enabled internet gateway found: http://192.168.1.1:56688/Public_UPNP_C3
LOG  : General     , 1659312293675> 784,543> External IP address: 108.168.100.208
LOG  : General     , 1659312293675> 784,544> trying to setup port forwarding rules...
LOG  : General     , 1659312293676> 784,544> 1659312293676 znet: Using http://192.168.1.1:56688/Public_UPNP_C3 to map external UDP port 16261 to local port 16261...
LOG  : General     , 1659312293676> 784,544> 1659312293676 znet: Checking if the port is already mapped...
LOG  : General     , 1659312293693> 784,562> 1659312293693 znet: Port 16261 is already mapped to 192.168.1.115:16261 for 86400 seconds
LOG  : General     , 1659312293694> 784,562> 1659312293694 znet: It seems to be our old mapping
LOG  : General     , 1659312293694> 784,563> 1659312293694 znet: Deleting this existing mapping...
LOG  : General     , 1659312293768> 784,636> 1659312293768 znet: Existing mapping has been successfully removed
LOG  : General     , 1659312293768> 784,637> 1659312293768 znet: Adding mapping to the routing table...
LOG  : General     , 1659312293794> 784,663> 1659312293794 znet: UPNP_AddPortMapping() succeeded, testing now...
LOG  : General     , 1659312293806> 784,675> 1659312293806 znet: UPNP_GetSpecificPortMappingEntry() succeeded, seems that we're good
LOG  : General     , 1659312293807> 784,675> 1659312293807 znet: UPNP_GetSpecificPortMappingEntry() results: intClient == '192.168.1.115', intPort == '16261', duration == '86400'
LOG  : Network     , 1659312293807> 784,676> Default port has been mapped successfully
LOG  : General     , 1659312293808> 784,676> 1659312293808 znet: Using http://192.168.1.1:56688/Public_UPNP_C3 to map external UDP port 8766 to local port 8766...
LOG  : General     , 1659312293808> 784,676> 1659312293808 znet: Checking if the port is already mapped...
LOG  : General     , 1659312293826> 784,694> 1659312293826 znet: Port 8766 is already mapped to 192.168.1.115:8766 for 86400 seconds
LOG  : General     , 1659312293826> 784,695> 1659312293826 znet: It seems to be our old mapping
LOG  : General     , 1659312293826> 784,695> 1659312293826 znet: Deleting this existing mapping...
LOG  : General     , 1659312293855> 784,724> 1659312293855 znet: Existing mapping has been successfully removed
LOG  : General     , 1659312293856> 784,724> 1659312293856 znet: Adding mapping to the routing table...
LOG  : General     , 1659312293888> 784,757> 1659312293888 znet: UPNP_AddPortMapping() succeeded, testing now...
LOG  : General     , 1659312293899> 784,768> 1659312293899 znet: UPNP_GetSpecificPortMappingEntry() succeeded, seems that we're good
LOG  : General     , 1659312293900> 784,768> 1659312293900 znet: UPNP_GetSpecificPortMappingEntry() results: intClient == '192.168.1.115', intPort == '8766', duration == '86400'
LOG  : Network     , 1659312293900> 784,769> SteamPort1 has been mapped successfully
LOG  : General     , 1659312293900> 784,769> 1659312293900 znet: Using http://192.168.1.1:56688/Public_UPNP_C3 to map external UDP port 8767 to local port 8767...
LOG  : General     , 1659312293900> 784,769> 1659312293900 znet: Checking if the port is already mapped...
LOG  : General     , 1659312293911> 784,779> 1659312293911 znet: Port 8767 is already mapped to 192.168.1.115:8767 for 86400 seconds
LOG  : General     , 1659312293911> 784,780> 1659312293911 znet: It seems to be our old mapping
LOG  : General     , 1659312293911> 784,780> 1659312293911 znet: Deleting this existing mapping...
LOG  : General     , 1659312293940> 784,808> 1659312293940 znet: Existing mapping has been successfully removed
LOG  : General     , 1659312293940> 784,809> 1659312293940 znet: Adding mapping to the routing table...
LOG  : General     , 1659312293967> 784,836> 1659312293967 znet: UPNP_AddPortMapping() succeeded, testing now...
LOG  : General     , 1659312293982> 784,850> 1659312293982 znet: UPNP_GetSpecificPortMappingEntry() succeeded, seems that we're good
LOG  : General     , 1659312293982> 784,851> 1659312293982 znet: UPNP_GetSpecificPortMappingEntry() results: intClient == '192.168.1.115', intPort == '8767', duration == '86400'
LOG  : Network     , 1659312293983> 784,851> SteamPort2 has been mapped successfully
LOG  : Network     , 1659312293983> 784,852> Initialising Server Systems...
WARN : Mod         , 1659312294504> 785,373> ZomboidFileSystem.loadModAndRequired> required mod "GEARBASIC" not found
WARN : Mod         , 1659312294505> 785,374> ZomboidFileSystem.loadModAndRequired> required mod "GEARCORE" not found
WARN : Mod         , 1659312294506> 785,375> ZomboidFileSystem.loadModAndRequired> required mod "RandomSoundEvents" not found
WARN : Mod         , 1659312294507> 785,376> ZomboidFileSystem.loadModAndRequired> required mod "RandomSoundEvents_Ambient" not found
WARN : Mod         , 1659312294509> 785,377> ZomboidFileSystem.loadModAndRequired> required mod "RandomSoundEvents_Animals" not found
WARN : Mod         , 1659312294509> 785,378> ZomboidFileSystem.loadModAndRequired> required mod "RandomSoundEvents_Disasters" not found
WARN : Mod         , 1659312294510> 785,379> ZomboidFileSystem.loadModAndRequired> required mod "RandomSoundEvents_Nukes" not found
WARN : Mod         , 1659312294511> 785,380> ZomboidFileSystem.loadModAndRequired> required mod "RandomSoundEvents_Sirens" not found
WARN : Mod         , 1659312294512> 785,381> ZomboidFileSystem.loadModAndRequired> required mod "RandomSoundEvents_Virals" not found
WARN : Mod         , 1659312294513> 785,382> ZomboidFileSystem.loadModAndRequired> required mod "RandomSoundEvents_Volatiles" not found
WARN : Mod         , 1659312294514> 785,383> ZomboidFileSystem.loadModAndRequired> required mod "TwoWeaponsOnBack" not found
LOG  : Mod         , 1659312294515> 785,383> loading modoptions
LOG  : Mod         , 1659312294522> 785,391> loading CDDAReading
LOG  : Mod         , 1659312294525> 785,394> mod "CDDAReading" overrides media/lua/client/timedactions/isreadabook.lua
LOG  : Mod         , 1659312294526> 785,395> mod "CDDAReading" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1659312294527> 785,396> loading BetterSortCC
LOG  : Mod         , 1659312294565> 785,434> mod "BetterSortCC" overrides media/lua/shared/translate/cn/ig_ui_cn.txt
LOG  : Mod         , 1659312294566> 785,435> mod "BetterSortCC" overrides media/lua/shared/translate/cs/ig_ui_cs.txt
LOG  : Mod         , 1659312294567> 785,436> mod "BetterSortCC" overrides media/lua/shared/translate/de/ig_ui_de.txt
LOG  : Mod         , 1659312294568> 785,437> mod "BetterSortCC" overrides media/lua/shared/translate/de/itemname_de.txt
LOG  : Mod         , 1659312294569> 785,438> mod "BetterSortCC" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1659312294570> 785,439> mod "BetterSortCC" overrides media/lua/shared/translate/en/itemname_en.txt
